arm,sigma_a,object,rho,rel_mse_aligned,rel_mse_raw,n
hadamard_paired+pairwise,0.05,3,10.0,0.266896928043189,0.35744811290246103,5
hadamard_paired+pairwise,0.05,4,0.001,0.0002977799377523761,0.0003083777969805856,5
hadamard_paired+pairwise,0.05,4,0.003,0.0008917946514383943,0.0009134739209788759,5
hadamard_paired+pairwise,0.05,4,0.01,0.002954293493836397,0.002975844484815131,5
hadamard_paired+pairwise,0.05,4,0.03,0.00874101137474193,0.008815517793038522,5
hadamard_paired+pairwise,0.05,4,0.1,0.027762513497741094,0.02856949601021691,5
hadamard_paired+pairwise,0.05,4,0.3,0.07260230722873781,0.07798505389265731,5
hadamard_paired+pairwise,0.05,4,1.0,0.16050304070829072,0.18908102275845243,5
hadamard_paired+pairwise,0.05,4,3.0,0.22244770196450436,0.28182633300969023,5
hadamard_paired+pairwise,0.05,4,10.0,0.23125506929655826,0.2962969497301344,5
hadamard_paired+pairwise,0.05,5,0.001,0.00042088225206605886,0.0004307856308616418,5
hadamard_paired+pairwise,0.05,5,0.003,0.0012602218942602268,0.0012801954709994018,5
hadamard_paired+pairwise,0.05,5,0.01,0.004171738062907658,0.004199037216068008,5
hadamard_paired+pairwise,0.05,5,0.03,0.012315579203502344,0.012451607959640957,5
hadamard_paired+pairwise,0.05,5,0.1,0.03881783357651737,0.04036602170350056,5
hadamard_paired+pairwise,0.05,5,0.3,0.09959911115345901,0.11028376032996368,5
hadamard_paired+pairwise,0.05,5,1.0,0.21209830875436234,0.26758547508060365,5
hadamard_paired+pairwise,0.05,5,3.0,0.2868156422734645,0.39893192322856297,5
hadamard_paired+pairwise,0.05,5,10.0,0.2971596519711315,0.4194565503794771,5
hadamard_paired+pairwise,0.05,6,0.001,0.00044308536943636677,0.00045347183564258133,5
hadamard_paired+pairwise,0.05,6,0.003,0.0013267761547694852,0.0013467874527804632,5
hadamard_paired+pairwise,0.05,6,0.01,0.004392010595881646,0.004419351042658384,5
hadamard_paired+pairwise,0.05,6,0.03,0.012963187492814165,0.013104912751970158,5
hadamard_paired+pairwise,0.05,6,0.1,0.04084711590571366,0.04250853872884973,5
hadamard_paired+pairwise,0.05,6,0.3,0.10467363708738534,0.11607938398590137,5
hadamard_paired+pairwise,0.05,6,1.0,0.22136399175598237,0.2817440546187545,5
hadamard_paired+pairwise,0.05,6,3.0,0.29780746984448164,0.4198080359691252,5
hadamard_paired+pairwise,0.05,6,10.0,0.30839814127319765,0.4412877491048148,5
hadamard_paired+pairwise,0.05,7,0.001,0.0005102267089845854,0.0005192900309016646,5
hadamard_paired+pairwise,0.05,7,0.003,0.0015271268235509017,0.0015459705958757526,5
hadamard_paired+pairwise,0.05,7,0.01,0.0050500228384311955,0.0050809678381905235,5
hadamard_paired+pairwise,0.05,7,0.03,0.014874682645050975,0.015098521323308706,5
hadamard_paired+pairwise,0.05,7,0.1,0.046579803697353074,0.04896026514768609,5
hadamard_paired+pairwise,0.05,7,0.3,0.11808394201370372,0.1336511245649185,5
hadamard_paired+pairwise,0.05,7,1.0,0.246795032983898,0.3243494791938825,5
hadamard_paired+pairwise,0.05,7,3.0,0.32863238246313387,0.48359253706347094,5
hadamard_paired+pairwise,0.05,7,10.0,0.3396252580015349,0.5084048344993715,5
hadamard_paired+pairwise,0.05,8,0.001,0.00047933584449718556,0.0004915577523538902,5
hadamard_paired+pairwise,0.05,8,0.003,0.00143541970508422,0.001462243559659423,5
hadamard_paired+pairwise,0.05,8,0.01,0.004751966273215223,0.004792485030924887,5
hadamard_paired+pairwise,0.05,8,0.03,0.014020388856362836,0.01417995329115683,5
hadamard_paired+pairwise,0.05,8,0.1,0.04399527256764615,0.04597754258891871,5
hadamard_paired+pairwise,0.05,8,0.3,0.11162257089002132,0.1255847023710095,5
hadamard_paired+pairwise,0.05,8,1.0,0.2335180610038591,0.30467091764738463,5
hadamard_paired+pairwise,0.05,8,3.0,0.31212536715102035,0.45426846864026904,5
hadamard_paired+pairwise,0.05,8,10.0,0.3228430574409953,0.47746180152593565,5
